tempo,real_s12,img_s12,s22
0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000
1.000000e-009,0.000000e+000,-4.479092e-003,1.669614e-005
2.000000e-009,0.000000e+000,-8.877638e-003,7.232418e-005
3.000000e-009,0.000000e+000,-1.319674e-002,1.647874e-004
4.000000e-009,0.000000e+000,-1.743750e-002,2.920734e-004
5.000000e-009,0.000000e+000,-2.160102e-002,4.522513e-004
6.000000e-009,0.000000e+000,-2.568838e-002,6.434683e-004
7.000000e-009,0.000000e+000,-2.970070e-002,8.639478e-004
8.000000e-009,0.000000e+000,-3.363904e-002,1.111985e-003
9.000000e-009,0.000000e+000,-3.750451e-002,1.385948e-003
1.000000e-008,0.000000e+000,-4.129818e-002,1.684268e-003
1.100000e-008,0.000000e+000,-4.502111e-002,2.005447e-003
1.200000e-008,0.000000e+000,-4.867439e-002,2.348045e-003
1.300000e-008,0.000000e+000,-5.225907e-002,2.710686e-003
1.400000e-008,0.000000e+000,-5.577620e-002,3.092050e-003
1.500000e-008,0.000000e+000,-5.922684e-002,3.490876e-003
1.600000e-008,0.000000e+000,-6.261201e-002,3.905955e-003
1.700000e-008,0.000000e+000,-6.593277e-002,4.336130e-003
1.800000e-008,0.000000e+000,-6.919012e-002,4.780295e-003
1.900000e-008,0.000000e+000,-7.238508e-002,5.237394e-003
2.000000e-008,0.000000e+000,-7.551866e-002,5.706414e-003
2.100000e-008,0.000000e+000,-7.859185e-002,6.186391e-003
2.200000e-008,0.000000e+000,-8.160565e-002,6.676401e-003
2.300000e-008,0.000000e+000,-8.456102e-002,7.175562e-003
2.400000e-008,0.000000e+000,-8.745894e-002,7.683034e-003
2.500000e-008,0.000000e+000,-9.030037e-002,8.198013e-003
2.600000e-008,0.000000e+000,-9.308624e-002,8.719734e-003
2.700000e-008,0.000000e+000,-9.581751e-002,9.247467e-003
2.800000e-008,0.000000e+000,-9.849510e-002,9.780515e-003
2.900000e-008,0.000000e+000,-1.011199e-001,1.031822e-002
3.000000e-008,0.000000e+000,-1.036929e-001,1.085994e-002
3.100000e-008,0.000000e+000,-1.062149e-001,1.140508e-002
3.200000e-008,0.000000e+000,-1.086868e-001,1.195307e-002
3.300000e-008,0.000000e+000,-1.111095e-001,1.250337e-002
3.400000e-008,0.000000e+000,-1.134839e-001,1.305546e-002
3.500000e-008,0.000000e+000,-1.158107e-001,1.360885e-002
3.600000e-008,0.000000e+000,-1.180910e-001,1.416307e-002
3.700000e-008,0.000000e+000,-1.203254e-001,1.471768e-002
3.800000e-008,0.000000e+000,-1.225148e-001,1.527226e-002
3.900000e-008,0.000000e+000,-1.246600e-001,1.582643e-002
4.000000e-008,0.000000e+000,-1.267618e-001,1.637980e-002
4.100000e-008,0.000000e+000,-1.288210e-001,1.693201e-002
4.200000e-008,0.000000e+000,-1.308384e-001,1.748274e-002
4.300000e-008,0.000000e+000,-1.328147e-001,1.803167e-002
4.400000e-008,0.000000e+000,-1.347506e-001,1.857849e-002
4.500000e-008,0.000000e+000,-1.366470e-001,1.912294e-002
4.600000e-008,0.000000e+000,-1.385046e-001,1.966473e-002
4.700000e-008,0.000000e+000,-1.403240e-001,2.020363e-002
4.800000e-008,0.000000e+000,-1.421060e-001,2.073941e-002
4.900000e-008,0.000000e+000,-1.438514e-001,2.127183e-002
5.000000e-008,0.000000e+000,-1.455606e-001,2.180070e-002
5.100000e-008,0.000000e+000,-1.472346e-001,2.232583e-002
5.200000e-008,0.000000e+000,-1.488738e-001,2.284704e-002
5.300000e-008,0.000000e+000,-1.504790e-001,2.336416e-002
5.400000e-008,0.000000e+000,-1.520509e-001,2.387704e-002
5.500000e-008,0.000000e+000,-1.535900e-001,2.438552e-002
5.600000e-008,0.000000e+000,-1.550970e-001,2.488949e-002
5.700000e-008,0.000000e+000,-1.565725e-001,2.538882e-002
5.800000e-008,0.000000e+000,-1.580171e-001,2.588339e-002
5.900000e-008,0.000000e+000,-1.594314e-001,2.637310e-002
6.000000e-008,0.000000e+000,-1.608160e-001,2.685787e-002
6.100000e-008,0.000000e+000,-1.621715e-001,2.733759e-002
6.200000e-008,0.000000e+000,-1.634984e-001,2.781219e-002
6.300000e-008,0.000000e+000,-1.647973e-001,2.828162e-002
6.400000e-008,0.000000e+000,-1.660687e-001,2.874579e-002
6.500000e-008,0.000000e+000,-1.673133e-001,2.920465e-002
6.600000e-008,0.000000e+000,-1.685314e-001,2.965817e-002
6.700000e-008,0.000000e+000,-1.697237e-001,3.010629e-002
6.800000e-008,0.000000e+000,-1.708906e-001,3.054898e-002
6.900000e-008,0.000000e+000,-1.720327e-001,3.098621e-002
7.000000e-008,0.000000e+000,-1.731504e-001,3.141795e-002
7.100000e-008,0.000000e+000,-1.742442e-001,3.184418e-002
7.200000e-008,0.000000e+000,-1.753146e-001,3.226489e-002
7.300000e-008,0.000000e+000,-1.763621e-001,3.268008e-002
7.400000e-008,0.000000e+000,-1.773872e-001,3.308972e-002
7.500000e-008,0.000000e+000,-1.783902e-001,3.349383e-002
7.600000e-008,0.000000e+000,-1.793717e-001,3.389241e-002
7.700000e-008,0.000000e+000,-1.803320e-001,3.428545e-002
7.800000e-008,0.000000e+000,-1.812716e-001,3.467298e-002
7.900000e-008,0.000000e+000,-1.821910e-001,3.505501e-002
8.000000e-008,0.000000e+000,-1.830904e-001,3.543155e-002
8.100000e-008,0.000000e+000,-1.839704e-001,3.580262e-002
8.200000e-008,0.000000e+000,-1.848313e-001,3.616824e-002
8.300000e-008,0.000000e+000,-1.856736e-001,3.652845e-002
8.400000e-008,0.000000e+000,-1.864975e-001,3.688327e-002
8.500000e-008,0.000000e+000,-1.873036e-001,3.723273e-002
8.600000e-008,0.000000e+000,-1.880920e-001,3.757686e-002
