tempo,real_s12,img_s12,s22
0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000
1.000000e-009,1.678805e-004,-4.474496e-003,1.669614e-005
2.000000e-009,7.296047e-004,-8.838677e-003,7.218675e-005
3.000000e-009,1.666990e-003,-1.305957e-002,1.639875e-004
4.000000e-009,2.959313e-003,-1.710653e-002,2.894179e-004
5.000000e-009,4.583570e-003,-2.095146e-002,4.456297e-004
6.000000e-009,6.514750e-003,-2.456889e-002,6.296357e-004
7.000000e-009,8.726115e-003,-2.793615e-002,8.383391e-004
8.000000e-009,1.118948e-002,-3.103349e-002,1.068562e-003
9.000000e-009,1.387551e-002,-3.384406e-002,1.317076e-003
1.000000e-008,1.675399e-002,-3.635404e-002,1.580628e-003
1.100000e-008,1.979414e-002,-3.855260e-002,1.855968e-003
1.200000e-008,2.296484e-002,-4.043191e-002,2.139877e-003
1.300000e-008,2.623498e-002,-4.198708e-002,2.429194e-003
1.400000e-008,2.957363e-002,-4.321615e-002,2.720835e-003
1.500000e-008,3.295039e-002,-4.411995e-002,3.011820e-003
1.600000e-008,3.633554e-002,-4.470203e-002,3.299292e-003
1.700000e-008,3.970035e-002,-4.496852e-002,3.580538e-003
1.800000e-008,4.301721e-002,-4.492799e-002,3.853003e-003
1.900000e-008,4.625988e-002,-4.459133e-002,4.114310e-003
2.000000e-008,4.940364e-002,-4.397152e-002,4.362270e-003
2.100000e-008,5.242544e-002,-4.308350e-002,4.594895e-003
2.200000e-008,5.530406e-002,-4.194395e-002,4.810408e-003
2.300000e-008,5.802020e-002,-4.057107e-002,5.007246e-003
2.400000e-008,6.055661e-002,-3.898445e-002,5.184073e-003
2.500000e-008,6.289813e-002,-3.720477e-002,5.339776e-003
2.600000e-008,6.503176e-002,-3.525363e-002,5.473470e-003
2.700000e-008,6.694669e-002,-3.315334e-002,5.584495e-003
2.800000e-008,6.863434e-002,-3.092671e-002,5.672418e-003
2.900000e-008,7.008832e-002,-2.859681e-002,5.737021e-003
3.000000e-008,7.130444e-002,-2.618680e-002,5.778303e-003
3.100000e-008,7.228064e-002,-2.371972e-002,5.796466e-003
3.200000e-008,7.301696e-002,-2.121830e-002,5.791910e-003
3.300000e-008,7.351546e-002,-1.870477e-002,5.765220e-003
3.400000e-008,7.378013e-002,-1.620071e-002,5.717158e-003
3.500000e-008,7.381678e-002,-1.372688e-002,5.648644e-003
3.600000e-008,7.363295e-002,-1.130306e-002,5.560749e-003
3.700000e-008,7.323777e-002,-8.947946e-003,5.454677e-003
3.800000e-008,7.264186e-002,-6.679002e-003,5.331751e-003
3.900000e-008,7.185713e-002,-4.512374e-003,5.193397e-003
4.000000e-008,7.089669e-002,-2.462789e-003,5.041129e-003
4.100000e-008,6.977467e-002,-5.434843e-004,4.876533e-003
4.200000e-008,6.850609e-002,1.233853e-003,4.701249e-003
4.300000e-008,6.710667e-002,2.859134e-003,4.516959e-003
4.400000e-008,6.559270e-002,4.323896e-003,4.325366e-003
4.500000e-008,6.398088e-002,5.621317e-003,4.128185e-003
4.600000e-008,6.228815e-002,6.746220e-003,3.927120e-003
4.700000e-008,6.053155e-002,7.695057e-003,3.723859e-003
4.800000e-008,5.872809e-002,8.465884e-003,3.520053e-003
4.900000e-008,5.689456e-002,9.058323e-003,3.317306e-003
5.000000e-008,5.504746e-002,9.473512e-003,3.117162e-003
5.100000e-008,5.320280e-002,9.714041e-003,2.921097e-003
5.200000e-008,5.137606e-002,9.783881e-003,2.730504e-003
5.300000e-008,4.958201e-002,9.688306e-003,2.546687e-003
5.400000e-008,4.783464e-002,9.433801e-003,2.370851e-003
5.500000e-008,4.614707e-002,9.027965e-003,2.204100e-003
5.600000e-008,4.453148e-002,8.479412e-003,2.047422e-003
5.700000e-008,4.299900e-002,7.797661e-003,1.901694e-003
