delta,real_s12,img_s12,s22
-2.500000e+001,-9.982030e-003,-3.992787e-004,9.982028e-005
-2.499000e+001,-9.986014e-003,-3.995975e-004,9.990011e-005
-2.498000e+001,-9.989998e-003,-3.999194e-004,9.998000e-005
-2.497000e+001,-9.993984e-003,-4.002418e-004,1.000599e-004
-2.496000e+001,-9.997970e-003,-4.005621e-004,1.001399e-004
-2.495000e+001,-1.000196e-002,-4.008805e-004,1.002200e-004
-2.494000e+001,-1.000596e-002,-4.011994e-004,1.003003e-004
-2.493000e+001,-1.000996e-002,-4.015208e-004,1.003807e-004
-2.492000e+001,-1.001396e-002,-4.018443e-004,1.004611e-004
-2.491000e+001,-1.001797e-002,-4.021681e-004,1.005416e-004
-2.490000e+001,-1.002198e-002,-4.024905e-004,1.006222e-004
-2.489000e+001,-1.002599e-002,-4.028118e-004,1.007029e-004
-2.488000e+001,-1.003000e-002,-4.031338e-004,1.007838e-004
-2.487000e+001,-1.003402e-002,-4.034577e-004,1.008647e-004
-2.486000e+001,-1.003804e-002,-4.037830e-004,1.009458e-004
-2.485000e+001,-1.004207e-002,-4.041085e-004,1.010268e-004
-2.484000e+001,-1.004609e-002,-4.044331e-004,1.011080e-004
-2.483000e+001,-1.005013e-002,-4.047573e-004,1.011893e-004
-2.482000e+001,-1.005416e-002,-4.050821e-004,1.012708e-004
-2.481000e+001,-1.005820e-002,-4.054083e-004,1.013523e-004
-2.480000e+001,-1.006224e-002,-4.057356e-004,1.014339e-004
-2.479000e+001,-1.006628e-002,-4.060631e-004,1.015156e-004
-2.478000e+001,-1.007033e-002,-4.063901e-004,1.015974e-004
-2.477000e+001,-1.007438e-002,-4.067169e-004,1.016793e-004
-2.476000e+001,-1.007844e-002,-4.070444e-004,1.017613e-004
-2.475000e+001,-1.008249e-002,-4.073730e-004,1.018434e-004
-2.474000e+001,-1.008655e-002,-4.077024e-004,1.019256e-004
-2.473000e+001,-1.009062e-002,-4.080320e-004,1.020079e-004
-2.472000e+001,-1.009468e-002,-4.083614e-004,1.020902e-004
-2.471000e+001,-1.009875e-002,-4.086908e-004,1.021727e-004
-2.470000e+001,-1.010283e-002,-4.090209e-004,1.022553e-004
-2.469000e+001,-1.010691e-002,-4.093519e-004,1.023380e-004
-2.468000e+001,-1.011099e-002,-4.096835e-004,1.024208e-004
-2.467000e+001,-1.011507e-002,-4.100153e-004,1.025037e-004
-2.466000e+001,-1.011915e-002,-4.103471e-004,1.025867e-004
-2.465000e+001,-1.012324e-002,-4.106792e-004,1.026698e-004
-2.464000e+001,-1.012734e-002,-4.110118e-004,1.027530e-004
-2.463000e+001,-1.013143e-002,-4.113451e-004,1.028363e-004
-2.462000e+001,-1.013553e-002,-4.116790e-004,1.029197e-004
-2.461000e+001,-1.013964e-002,-4.120132e-004,1.030032e-004
-2.460000e+001,-1.014374e-002,-4.123475e-004,1.030868e-004
-2.459000e+001,-1.014785e-002,-4.126820e-004,1.031705e-004
-2.458000e+001,-1.015197e-002,-4.130172e-004,1.032543e-004
-2.457000e+001,-1.015608e-002,-4.133529e-004,1.033383e-004
-2.456000e+001,-1.016020e-002,-4.136892e-004,1.034223e-004
-2.455000e+001,-1.016433e-002,-4.140257e-004,1.035064e-004
-2.454000e+001,-1.016845e-002,-4.143625e-004,1.035906e-004
-2.453000e+001,-1.017258e-002,-4.146996e-004,1.036749e-004
-2.452000e+001,-1.017672e-002,-4.150372e-004,1.037593e-004
-2.451000e+001,-1.018085e-002,-4.153754e-004,1.038439e-004
-2.450000e+001,-1.018499e-002,-4.157141e-004,1.039285e-004
-2.449000e+001,-1.018914e-002,-4.160530e-004,1.040132e-004
-2.448000e+001,-1.019328e-002,-4.163923e-004,1.040981e-004
-2.447000e+001,-1.019743e-002,-4.167320e-004,1.041830e-004
-2.446000e+001,-1.020159e-002,-4.170721e-004,1.042681e-004
-2.445000e+001,-1.020574e-002,-4.174128e-004,1.043532e-004
-2.444000e+001,-1.020990e-002,-4.177539e-004,1.044385e-004
-2.443000e+001,-1.021407e-002,-4.180953e-004,1.045238e-004
-2.442000e+001,-1.021823e-002,-4.184371e-004,1.046093e-004
-2.441000e+001,-1.022240e-002,-4.187793e-004,1.046948e-004
-2.440000e+001,-1.022658e-002,-4.191220e-004,1.047805e-004
-2.439000e+001,-1.023075e-002,-4.194651e-004,1.048663e-004
-2.438000e+001,-1.023494e-002,-4.198087e-004,1.049522e-004
-2.437000e+001,-1.023912e-002,-4.201527e-004,1.050382e-004
-2.436000e+001,-1.024331e-002,-4.204970e-004,1.051242e-004
-2.435000e+001,-1.024750e-002,-4.208417e-004,1.052104e-004
-2.434000e+001,-1.025169e-002,-4.211869e-004,1.052967e-004
-2.433000e+001,-1.025589e-002,-4.215326e-004,1.053832e-004
-2.432000e+001,-1.026009e-002,-4.218787e-004,1.054697e-004
-2.431000e+001,-1.026429e-002,-4.222252e-004,1.055563e-004
-2.430000e+001,-1.026850e-002,-4.225721e-004,1.056430e-004
-2.429000e+001,-1.027271e-002,-4.229194e-004,1.057299e-004
-2.428000e+001,-1.027693e-002,-4.232672e-004,1.058168e-004
-2.427000e+001,-1.028115e-002,-4.236154e-004,1.059039e-004
-2.426000e+001,-1.028537e-002,-4.239641e-004,1.059910e-004
-2.425000e+001,-1.028959e-002,-4.243132e-004,1.060783e-004
-2.424000e+001,-1.029382e-002,-4.246626e-004,1.061657e-004
-2.423000e+001,-1.029805e-002,-4.250125e-004,1.062531e-004
-2.422000e+001,-1.030229e-002,-4.253629e-004,1.063407e-004
-2.421000e+001,-1.030653e-002,-4.257137e-004,1.064284e-004
-2.420000e+001,-1.031077e-002,-4.260650e-004,1.065162e-004
-2.419000e+001,-1.031502e-002,-4.264166e-004,1.066042e-004
-2.418000e+001,-1.031927e-002,-4.267687e-004,1.066922e-004
-2.417000e+001,-1.032352e-002,-4.271212e-004,1.067803e-004
-2.416000e+001,-1.032778e-002,-4.274742e-004,1.068686e-004
-2.415000e+001,-1.033204e-002,-4.278276e-004,1.069569e-004
-2.414000e+001,-1.033630e-002,-4.281815e-004,1.070454e-004
-2.413000e+001,-1.034057e-002,-4.285358e-004,1.071339e-004
-2.412000e+001,-1.034484e-002,-4.288905e-004,1.072226e-004
-2.411000e+001,-1.034911e-002,-4.292456e-004,1.073114e-004
-2.410000e+001,-1.035339e-002,-4.296012e-004,1.074003e-004
-2.409000e+001,-1.035767e-002,-4.299573e-004,1.074893e-004
-2.408000e+001,-1.036196e-002,-4.303138e-004,1.075784e-004
-2.407000e+001,-1.036624e-002,-4.306707e-004,1.076677e-004
-2.406000e+001,-1.037054e-002,-4.310281e-004,1.077570e-004
-2.405000e+001,-1.037483e-002,-4.313859e-004,1.078465e-004
-2.404000e+001,-1.037913e-002,-4.317442e-004,1.079360e-004
-2.403000e+001,-1.038343e-002,-4.321029e-004,1.080257e-004
-2.402000e+001,-1.038774e-002,-4.324621e-004,1.081155e-004
-2.401000e+001,-1.039205e-002,-4.328217e-004,1.082054e-004
-2.400000e+001,-1.039636e-002,-4.331817e-004,1.082954e-004
-2.399000e+001,-1.040068e-002,-4.335422e-004,1.083856e-004
-2.398000e+001,-1.040500e-002,-4.339032e-004,1.084758e-004
-2.397000e+001,-1.040932e-002,-4.342646e-004,1.085661e-004
-2.396000e+001,-1.041365e-002,-4.346264e-004,1.086566e-004
-2.395000e+001,-1.041798e-002,-4.349888e-004,1.087472e-004
-2.394000e+001,-1.042232e-002,-4.353515e-004,1.088379e-004
-2.393000e+001,-1.042665e-002,-4.357147e-004,1.089287e-004
-2.392000e+001,-1.043100e-002,-4.360784e-004,1.090196e-004
-2.391000e+001,-1.043534e-002,-4.364425e-004,1.091106e-004
-2.390000e+001,-1.043969e-002,-4.368071e-004,1.092018e-004
-2.389000e+001,-1.044404e-002,-4.371722e-004,1.092930e-004
-2.388000e+001,-1.044840e-002,-4.375376e-004,1.093844e-004
-2.387000e+001,-1.045276e-002,-4.379036e-004,1.094759e-004
-2.386000e+001,-1.045712e-002,-4.382700e-004,1.095675e-004
-2.385000e+001,-1.046149e-002,-4.386369e-004,1.096592e-004
-2.384000e+001,-1.046586e-002,-4.390042e-004,1.097511e-004
-2.383000e+001,-1.047024e-002,-4.393720e-004,1.098430e-004
-2.382000e+001,-1.047461e-002,-4.397403e-004,1.099351e-004
-2.381000e+001,-1.047900e-002,-4.401090e-004,1.100273e-004
-2.380000e+001,-1.048338e-002,-4.404782e-004,1.101195e-004
-2.379000e+001,-1.048777e-002,-4.408478e-004,1.102120e-004
-2.378000e+001,-1.049216e-002,-4.412179e-004,1.103045e-004
-2.377000e+001,-1.049656e-002,-4.415885e-004,1.103971e-004
-2.376000e+001,-1.050096e-002,-4.419596e-004,1.104899e-004
-2.375000e+001,-1.050536e-002,-4.423311e-004,1.105828e-004
-2.374000e+001,-1.050977e-002,-4.427031e-004,1.106758e-004
-2.373000e+001,-1.051418e-002,-4.430755e-004,1.107689e-004
-2.372000e+001,-1.051860e-002,-4.434484e-004,1.108621e-004
-2.371000e+001,-1.052302e-002,-4.438218e-004,1.109555e-004
-2.370000e+001,-1.052744e-002,-4.441957e-004,1.110489e-004
-2.369000e+001,-1.053186e-002,-4.445700e-004,1.111425e-004
-2.368000e+001,-1.053629e-002,-4.449448e-004,1.112362e-004
-2.367000e+001,-1.054073e-002,-4.453201e-004,1.113300e-004
-2.366000e+001,-1.054516e-002,-4.456959e-004,1.114240e-004
-2.365000e+001,-1.054961e-002,-4.460721e-004,1.115180e-004
-2.364000e+001,-1.055405e-002,-4.464488e-004,1.116122e-004
-2.363000e+001,-1.055850e-002,-4.468260e-004,1.117065e-004
-2.362000e+001,-1.056295e-002,-4.472037e-004,1.118009e-004
-2.361000e+001,-1.056741e-002,-4.475818e-004,1.118955e-004
-2.360000e+001,-1.057187e-002,-4.479604e-004,1.119901e-004
-2.359000e+001,-1.057633e-002,-4.483395e-004,1.120849e-004
-2.358000e+001,-1.058080e-002,-4.487191e-004,1.121798e-004
-2.357000e+001,-1.058527e-002,-4.490992e-004,1.122748e-004
-2.356000e+001,-1.058974e-002,-4.494797e-004,1.123699e-004
-2.355000e+001,-1.059422e-002,-4.498608e-004,1.124652e-004
-2.354000e+001,-1.059870e-002,-4.502423e-004,1.125606e-004
-2.353000e+001,-1.060319e-002,-4.506243e-004,1.126561e-004
-2.352000e+001,-1.060768e-002,-4.510068e-004,1.127517e-004
-2.351000e+001,-1.061217e-002,-4.513897e-004,1.128474e-004
-2.350000e+001,-1.061667e-002,-4.517732e-004,1.129433e-004
-2.349000e+001,-1.062117e-002,-4.521572e-004,1.130393e-004
-2.348000e+001,-1.062568e-002,-4.525416e-004,1.131354e-004
-2.347000e+001,-1.063019e-002,-4.529265e-004,1.132316e-004
-2.346000e+001,-1.063470e-002,-4.533120e-004,1.133280e-004
-2.345000e+001,-1.063921e-002,-4.536979e-004,1.134245e-004
-2.344000e+001,-1.064374e-002,-4.540843e-004,1.135211e-004
-2.343000e+001,-1.064826e-002,-4.544712e-004,1.136178e-004
-2.342000e+001,-1.065279e-002,-4.548586e-004,1.137146e-004
-2.341000e+001,-1.065732e-002,-4.552465e-004,1.138116e-004
-2.340000e+001,-1.066186e-002,-4.556348e-004,1.139087e-004
-2.339000e+001,-1.066639e-002,-4.560237e-004,1.140059e-004
-2.338000e+001,-1.067094e-002,-4.564131e-004,1.141033e-004
